"Input","Output","AdjModel","RegModel","Estimates","Std.Err","P.Value","EstimatesTertile1","Std.ErrTertile1","P.ValueTertile1","EstimatesTertile2","Std.ErrTertile2","P.ValueTertile2","EstimatesTertile3","Std.ErrTertile3","P.ValueTertile3","SampleSize"
"RA","diastolic_BP",2,"linear",-1.92482442144766,1.92038615574679,0.372909885707896,NA,NA,NA,NA,NA,NA,NA,NA,NA,4587
"RA","BMXBMI",1,"linear",-8.87339044709189,1.00129140351717,4.08137411770482e-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,4587
"RA","BMXBMI",2,"linear",-8.58466825663016,1.03871036382215,0.00116948199700969,NA,NA,NA,NA,NA,NA,NA,NA,NA,4587
"RA","BMXWAIST",1,"linear",-24.1057493193454,2.56255340160268,1.98122412681971e-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,4587
"RA","BMXWAIST",2,"linear",-22.1059388891025,2.6077669864842,0.0010615395731265,NA,NA,NA,NA,NA,NA,NA,NA,NA,4587
"RA","LBXGLU",1,"linear",-33.6214995308769,8.22939630750123,0.00111314381892678,NA,NA,NA,NA,NA,NA,NA,NA,NA,2186
"RA","LBXGLU",2,"linear",-29.2616216556386,8.1921826904455,0.0160115280602233,NA,NA,NA,NA,NA,NA,NA,NA,NA,2186
"IS60_tertile","self_rated_1",1,"logist",0.174067705672777,0.0863237739535074,0.0437527822373491,1.32067804825094,0.118856396666836,5.22785950565804e-08,-0.00866376494930614,0.0636139487926959,0.893755266913756,0.246168910133612,0.12208025188028,0.0648977527008238,4587
"IS60_tertile","self_rated_1",2,"logist",0.28169140459987,0.10097056577932,0.00527346087315594,14.8354175645588,1.65343003007896,0.00292174025591611,0.0708934157171892,0.0788252658240581,0.434736304376326,0.398371804789049,0.142793943525599,0.0684281356645338,4587
"IS60_tertile","self_rated_2",1,"logist",0.191963015276835,0.0679511620228499,0.00472784823815364,-0.5080336295584,0.108040811863936,0.000413542942456662,0.0642238132204683,0.0832578212685074,0.454272397405877,0.271476699678534,0.0960974549117254,0.0143267754669059,4587
"IS60_tertile","self_rated_2",2,"logist",0.261189455464177,0.0662020973248242,7.96884709679535e-05,-0.427659263075973,1.89750215012105,0.836164037257297,0.109260057293875,0.088931324812681,0.306814669978254,0.369377670266282,0.0936239038943097,0.0290337767214387,4587
"IV60_tertile","self_rated_1",1,"logist",-0.045415060093275,0.0788657823348005,0.564714865536763,1.42684966277879,0.103432407113542,3.86124388998532e-09,-0.0253075939222086,0.110275639930646,0.822056277701127,-0.0642265939198984,0.11153305898504,0.57454878191246,4587
"IV60_tertile","self_rated_1",2,"logist",-0.121999518587729,0.0993558589595643,0.219482773691651,15.1098121694759,1.6090440544284,0.00255826638863305,-0.113828460231468,0.128482449026939,0.44089914393093,-0.172533373789755,0.140510403241848,0.307037449871476,4587
